Timestamp,Source IP,Destination IP,Protocol,Length
20:39:18,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:39:18,192.168.1.254,192.168.1.17,ARP,60
20:39:18,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,78
20:39:18,192.168.1.17,192.168.1.254,ARP,42
20:39:19,192.168.1.17,20.111.1.3,TCP,54
20:39:19,20.111.1.3,192.168.1.17,TCP,66
20:39:20,192.168.1.3,224.0.0.22,IGMP,54
20:39:20,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:10b8:2b13:5a9:15a6,UDP,66
20:39:20,fe80:0:0:0:10b8:2b13:5a9:15a6,fe80:0:0:0:10bd:54c4:ad05:e93a,UDP,114
20:39:21,192.168.1.2,224.0.0.22,IGMP,62
20:39:21,192.168.1.3,224.0.0.22,IGMP,62
20:39:21,192.168.1.17,13.89.179.13,TCP,54
20:39:21,13.89.179.13,192.168.1.17,TCP,66
20:39:22,192.168.1.17,35.86.41.115,TCP,177
20:39:22,192.168.1.17,35.86.41.115,TCP,105
20:39:22,192.168.1.17,35.86.41.115,TCP,526
20:39:22,35.86.41.115,192.168.1.17,TCP,66
20:39:22,35.86.41.115,192.168.1.17,TCP,66
20:39:22,35.86.41.115,192.168.1.17,TCP,105
20:39:22,192.168.1.17,35.86.41.115,TCP,66
20:39:22,35.86.41.115,192.168.1.17,TCP,723
20:39:22,35.86.41.115,192.168.1.17,TCP,97
20:39:22,192.168.1.17,35.86.41.115,TCP,66
20:39:22,192.168.1.17,35.86.41.115,TCP,101
20:39:23,35.86.41.115,192.168.1.17,TCP,66
20:39:23,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:39:23,192.168.1.254,192.168.1.17,ARP,60
20:39:23,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,78
20:39:23,192.168.1.17,192.168.1.254,ARP,42
20:39:25,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:10b8:2b13:5a9:15a6,ICMPv6,86
20:39:25,fe80:0:0:0:10b8:2b13:5a9:15a6,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,78
20:39:26,fe80:0:0:0:10b8:2b13:5a9:15a6,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:39:26,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:10b8:2b13:5a9:15a6,ICMPv6,78
20:39:28,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:39:28,192.168.1.254,192.168.1.17,ARP,60
20:39:28,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,78
20:39:28,192.168.1.17,192.168.1.254,ARP,42
20:39:33,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,86
20:39:33,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:39:33,192.168.1.254,192.168.1.17,ARP,60
20:39:33,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,78
20:39:33,192.168.1.17,192.168.1.254,ARP,42
20:39:33,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,78
20:39:33,192.168.1.17,81.192.28.242,TCP,54
20:39:33,81.192.28.242,192.168.1.17,TCP,66
20:39:36,192.168.1.3,224.0.0.251,UDP,342
20:39:36,192.168.1.3,224.0.0.251,UDP,93
20:39:36,192.168.1.3,224.0.0.251,UDP,93
20:39:37,192.168.1.3,224.0.0.251,UDP,93
20:39:37,192.168.1.3,224.0.0.251,UDP,407
20:39:37,192.168.1.3,224.0.0.251,UDP,343
20:39:37,192.168.1.17,137.184.250.43,TCP,54
20:39:38,137.184.250.43,192.168.1.17,TCP,60
20:39:38,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:39:38,192.168.1.254,192.168.1.17,ARP,60
20:39:38,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,78
20:39:38,192.168.1.17,192.168.1.254,ARP,42
20:39:39,192.168.1.17,224.0.0.251,UDP,193
20:39:39,fe80:0:0:0:10bd:54c4:ad05:e93a,ff02:0:0:0:0:0:0:fb,UDP,213
20:39:40,192.168.1.17,224.0.0.251,UDP,193
20:39:40,fe80:0:0:0:10bd:54c4:ad05:e93a,ff02:0:0:0:0:0:0:fb,UDP,213
20:39:40,192.168.1.17,192.168.1.254,UDP,64
20:39:41,192.168.1.17,192.168.1.254,UDP,64
